arena,0.08685950,2.93915800
arena2,2.64891067,56.68584900
brc000d,11.40916725,332.83286600
brc100d,10.15261554,195.52936000
brc101d,6.74799696,148.96229700
brc200d,3.60189267,43.91199900
brc201d,3.64315204,89.59991500
brc202d,5.71775221,138.31362100
brc203d,3.68600888,69.54259000
brc204d,4.25040592,87.80186600
brc300d,2.63777500,18.78899400
brc501d,16.58594504,697.42558200
brc502d,4.92262154,28.27596500
brc503d,14.88186050,590.41090000
brc504d,7.21385133,274.94665700
brc505d,6.41246850,389.37210700
brc997d,8.17116058,170.09185600
brc999d,10.54291204,84.37187900
combat,2.21793337,12.59188800
combat2,1.47044596,10.95743100
den000d,16.89919775,336.75635400
den001d,0.46995329,17.55975000
den005d,3.28956275,34.37104400
den009d,0.09008029,0.60015400
den011d,1.44283721,27.43574900
den012d,2.51618492,81.32684000
den020d,0.32016542,4.25190000
den101d,0.23784675,1.35928000
den200d,3.44847504,40.74796700
den200n,3.66954887,44.46994900
den201d,0.01422879,0.44897200
den202d,0.01848738,0.64341300
den203d,0.37424396,3.11419800
den204d,0.17351721,6.49846200
den206d,0.52458971,4.85665700
den207d,0.02571162,0.93109200
den308d,0.25971942,5.41556600
den312d,0.16168050,3.30828300
den400d,7.18925933,206.85854500
den401d,0.89969025,22.48367000
den403d,0.14021125,1.93586700
den404d,0.05724633,0.20263500
den405d,0.12351604,0.71913500
den407d,0.06274308,0.84670900
den408d,0.07677367,0.94052900
den500d,3.97136621,59.66183100
den501d,2.44991542,59.98656400
den502d,4.07266750,53.62583000
den504d,0.76831892,28.33431800
den505d,4.17277283,57.03077500
den510d,14.61834304,265.42155800
den520d,4.74312675,111.85758700
den600d,1.64745342,19.66520300
den601d,2.30474950,36.66905500
den602d,8.40652950,92.08659400
den900d,0.60343367,10.28766100
den901d,0.71232554,17.16175700
den998d,0.15416612,3.88674800
hrt000d,50.12391575,883.50748600
hrt001d,0.28368158,7.74720200
hrt002d,0.09811467,1.10623800
hrt201d,4.58769004,61.08042500
hrt201n,3.12309908,51.09646000
isound1,0.13042429,0.35403700
lak100c,15.37070425,170.40096500
lak100d,14.87561754,202.60366100
lak100n,13.46662250,163.72635400
lak101d,0.06211242,0.17414600
lak102d,0.25553087,0.49574500
lak103d,0.56368500,0.76509900
lak104d,0.09604321,0.71446100
lak105d,0.04508492,0.49219400
lak106d,0.54313196,3.02348800
lak107d,0.04109829,0.20108900
lak108d,0.07018346,0.24424600
lak109d,0.10727863,0.36851800
lak110d,0.06123754,0.09135600
lak200d,3.30384837,17.37504600
lak201d,1.22469846,20.10784200
lak202d,1.00633892,8.56705200
lak203d,0.35984271,4.64449700
lak250d,2.05371175,14.70558000
lak300d,4.62105100,47.08152300
lak302d,2.16850358,20.87908500
lak303d,1.51071971,68.22263400
lak304d,1.76716908,77.74867500
lak307d,0.37047867,11.29551100
lak308d,2.43538592,35.77019500
lak400d,39.24043083,246.57465500
lak401d,11.37556563,124.17192600
lak403d,17.96222192,175.72780700
lak404d,1.03441025,30.97622900
lak405d,30.51428763,177.73973000
lak503d,1.97027471,76.90994800
lak504d,1.74215029,73.17294200
lak505d,2.04595204,92.76093200
lak506d,1.07165833,48.34124700
lak507d,0.33814338,7.63766000
lak510d,1.10687171,22.14400700
lak511d,2.81410454,70.40668200
lak512d,6.22998979,61.88794500
lak513d,6.09755437,141.37645900
lak514d,4.06365975,36.09002000
lak515d,0.36332958,5.37013300
lak519d,2.07847554,75.11486500
lak526d,0.39698525,1.92660500
lgt101d,0.13024508,0.78613400
lgt300d,18.13128437,327.43741900
lgt600d,15.24517096,116.45969700
lgt601d,8.15120313,164.79252200
lgt602d,4.22271917,135.66871500
lgt603d,2.66963371,88.58508700
lgt604d,2.77016025,54.17799000
lgt605d,0.29941771,5.98480800
orz000d,0.42628717,5.77987100
orz100d,17.80422833,631.70022600
orz101d,0.14942308,2.01963600
orz102d,0.08969442,0.61633000
orz103d,6.79775679,95.96059400
orz105d,0.09881825,0.72149800
orz106d,0.12685950,0.34123000
orz107d,0.15983467,0.40149000
orz200d,2.29099029,23.10567200
orz201d,0.04821192,0.72485900
orz203d,0.02444483,0.10362000
orz300d,24.63255971,520.83553100
orz301d,1.29943563,9.50647000
orz302d,0.72020083,6.34891100
orz303d,2.38071996,64.25176400
orz304d,0.26036579,7.99229500
orz500d,4.72765800,51.61882500
orz601d,0.10233079,2.51432400
orz700d,48.77068208,564.29643500
orz701d,18.65015642,203.42794600
orz702d,22.03213096,544.26886400
orz703d,16.31431325,317.31069300
orz704d,0.34510271,3.05160700
orz800d,21.91885692,131.55890600
orz900d,31.33502663,319.92402900
orz901d,14.06713587,166.07694700
orz999d,13.58040167,118.58258000
ost000a,32.32764317,1160.26148100
ost000t,33.00979638,916.81747500
ost001d,2.19425683,42.68937500
ost002d,1.77492942,56.47599200
ost003d,1.38201083,45.91578700
ost004d,0.46988729,13.58707100
ost100d,96.10406187,2197.24532000
ost101d,12.79816554,18.48840800
ost102d,0.03133604,0.10455700
oth000d,5.10843058,83.82616300
oth001d,4.55723642,50.82413900
oth999d,0.03992158,0.04710300
rmtst,0.22057554,8.21448800
rmtst01,4.04209404,7.92947500
rmtst03,0.38836762,8.10956800
arena,0.07032125,2.93915800
