Map, triangle
arena,29.45312500
arena2,36.74740484
brc000d,69.27192982
brc100d,56.71580717
brc101d,55.92784993
brc200d,30.38189533
brc201d,36.27954668
brc202d,33.83582788
brc203d,35.39784053
brc204d,41.28107680
brc300d,41.72093023
brc501d,73.87376954
brc502d,53.92857143
brc503d,53.98862713
brc504d,44.50964574
brc505d,44.04329004
brc997d,64.48174442
brc999d,84.55503513
combat,12.60000000
combat2,12.77777778
den000d,72.25718391
den001d,29.99626866
den005d,23.53287537
den009d,16.00000000
den011d,26.38927098
den012d,44.55359246
den020d,19.63350785
den101d,15.78160920
den200d,35.68562874
den200n,38.92187500
den201d,18.22857143
den202d,21.76190476
den203d,16.93678161
den204d,30.91666667
den206d,17.34224599
den207d,20.14814815
den308d,29.47058824
den312d,18.32085561
den400d,63.11720430
den401d,23.73429952
den403d,17.26373626
den404d,11.93750000
den405d,15.65151515
den407d,18.93220339
den408d,27.98360656
den500d,27.19782609
den501d,26.54781801
den502d,56.61035422
den504d,32.52564103
den505d,26.64380531
den510d,47.87529861
den520d,56.64802632
den600d,22.10990991
den601d,24.91169725
den602d,26.08919936
den900d,31.61685824
den901d,44.34634146
den998d,22.76966292
hrt000d,79.69373315
hrt001d,30.55021834
hrt002d,18.20202020
hrt201d,23.40374910
hrt201n,24.04457225
isound1,5.75000000
lak100c,50.15792155
lak100d,46.86243386
lak100n,46.83609756
lak101d,16.54166667
lak102d,14.44444444
lak103d,15.79411765
lak104d,17.44230769
lak105d,16.58333333
lak106d,29.09649123
lak107d,14.61538462
lak108d,16.76470588
lak109d,16.67391304
lak110d,11.62500000
lak200d,33.80759494
lak201d,24.22550544
lak202d,21.52599388
lak203d,24.53097345
lak250d,31.74642857
lak300d,53.17021277
lak302d,22.10033445
lak303d,38.28698225
lak304d,35.66836086
lak307d,68.51973684
lak308d,32.52050114
lak400d,63.37185661
lak401d,31.07387989
lak403d,84.66666667
lak404d,34.71145038
lak405d,39.54511697
lak503d,40.64917541
lak504d,33.56124433
lak505d,41.75747508
lak506d,33.84952978
lak507d,58.36000000
lak510d,40.99176955
lak511d,38.16220352
lak512d,31.63678373
lak513d,42.84276127
lak514d,38.97400186
lak515d,52.51851852
lak519d,49.24394184
lak526d,23.01886792
lgt101d,17.08571429
lgt300d,77.64726508
lgt600d,85.84724689
lgt601d,75.68829517
lgt602d,48.19345455
lgt603d,45.14436620
lgt604d,67.56007752
lgt605d,50.93805310
orz000d,24.67164179
orz100d,56.72932535
orz101d,20.75000000
orz102d,18.19047619
orz103d,27.82151300
orz105d,20.90566038
orz106d,18.70000000
orz107d,17.76923077
orz200d,37.16995448
orz201d,18.22058824
orz203d,13.75000000
orz300d,53.69435929
orz301d,25.76201373
orz302d,24.07894737
orz303d,31.64534884
orz304d,23.01239669
orz500d,38.66765579
orz601d,21.18750000
orz700d,53.58525346
orz701d,45.55055679
orz702d,63.24078159
orz703d,54.99237888
orz704d,33.02409639
orz800d,34.54111842
orz900d,42.14482419
orz901d,47.49011858
orz999d,42.90349947
ost000a,54.08486831
ost000t,57.11845052
ost001d,44.48263027
ost002d,47.22082811
ost003d,42.91083521
ost004d,63.70810811
ost100d,90.44313574
ost101d,43.21319797
ost102d,10.94117647
oth000d,65.33553501
oth001d,37.01026518
oth999d,4.00000000
rmtst,27.60189573
rmtst01,27.50246305
rmtst03,27.86956522
